Week,sku01,sku02,sku03,sku04,sku05
09/04/2018,7640,2288,9360,320,12588
16/04/2018,760,2912,13740,18544,1332
23/04/2018,1060,4160,4080,1824,1668
30/04/2018,10600,2912,5580,45920,420
07/05/2018,1180,1040,24180,7440,732
14/05/2018,38040,3120,11640,10208,9384
21/05/2018,1740,2496,2400,2288,21804
28/05/2018,15740,2912,13560,784,708
04/06/2018,1020,3328,32100,1680,192
11/06/2018,700,2704,43260,38896,240
18/06/2018,38980,20800,11940,1536,324
25/06/2018,3820,2080,7380,10592,13488
02/07/2018,100,3120,10500,12112,7500
09/07/2018,20180,3536,24540,4128,45576
16/07/2018,56640,3120,26520,1680,888
23/07/2018,61940,2496,14940,2864,144
30/07/2018,38780,2080,12180,19440,168
06/08/2018,18480,3744,15480,4912,21780
13/08/2018,19060,2704,18180,8400,36
20/08/2018,76720,3328,5040,6240,2796
27/08/2018,65620,2288,19920,9840,120
03/09/2018,58440,2704,35760,7440,44136
10/09/2018,37060,1248,9840,5744,21780
17/09/2018,20720,2288,19140,19168,780
24/09/2018,20400,3328,52020,3920,13704
01/10/2018,76720,3120,33240,9408,22488
08/10/2018,73980,6032,7080,4256,696
15/10/2018,48220,6240,27000,21280,60
22/10/2018,80180,3744,26400,2688,11724
29/10/2018,20000,3328,49260,11376,22032
05/11/2018,56560,20800,8460,20656,84
12/11/2018,60960,4992,44040,11280,684
19/11/2018,18700,2704,8820,15888,44940
26/11/2018,37120,3536,38040,15248,132
03/12/2018,57520,4784,7260,11264,22056
10/12/2018,37000,2912,19500,97584,21936
17/12/2018,500,3952,48060,40720,180
24/12/2018,0,832,2700,0,36
31/12/2018,0,832,18480,0,0
07/01/2019,76820,832,6180,1840,0
14/01/2019,38040,3744,3180,416,84
21/01/2019,1160,4160,11760,0,48
28/01/2019,37520,3120,5640,5664,0
04/02/2019,36960,8528,51120,240,0
11/02/2019,26900,6864,10380,1296,21876
18/02/2019,92500,6864,29880,96,21876
25/02/2019,1020,1872,19860,3280,192
04/03/2019,93620,2704,19320,7616,45336
11/03/2019,56000,3744,25020,14720,22452
18/03/2019,56140,3952,11520,4624,60
25/03/2019,22500,5408,8880,1680,1380
01/04/2019,57960,4992,11760,13600,21912
08/04/2019,73960,3120,10980,1328,72
15/04/2019,39840,3536,36300,13456,156
22/04/2019,74480,5408,16620,0,21804
29/04/2019,37000,1040,15600,4784,22488
06/05/2019,56320,13936,23940,656,21996
13/05/2019,80200,26000,12060,4848,864
20/05/2019,74640,4992,36120,17600,120
27/05/2019,37020,3952,36360,28160,22020
03/06/2019,40160,19344,10320,8272,21864
10/06/2019,60900,52832,60420,17936,996
17/06/2019,55440,2080,19860,3920,25896
24/06/2019,74540,16848,13140,13600,21828
01/07/2019,36960,10608,19020,10400,12
08/07/2019,25340,17056,13860,10624,13308
15/07/2019,4540,8528,7380,5888,816
22/07/2019,56000,29744,24000,3296,4212
29/07/2019,59040,18720,26940,2080,48
05/08/2019,3720,16224,44760,12416,36
12/08/2019,60140,36608,12660,2976,3420
19/08/2019,58240,14768,23040,37600,720
26/08/2019,25240,31616,23940,13120,22824
02/09/2019,58500,23504,9900,752,816
09/09/2019,48080,39520,13440,6928,34440
16/09/2019,38760,22256,26340,34176,276
23/09/2019,60600,23088,28620,1744,21840
30/09/2019,40060,27872,15600,1440,7968
07/10/2019,40420,59280,6540,5984,23856
14/10/2019,58720,35568,15060,11920,11916
21/10/2019,75660,9360,9420,35456,21852
28/10/2019,55640,4368,8460,35568,21876
04/11/2019,79220,5200,41700,512,22500
11/11/2019,39200,22880,26460,18992,816
18/11/2019,55620,6864,11580,25408,24
25/11/2019,19260,18512,13920,5072,22536
02/12/2019,37600,34528,34980,368,1380
09/12/2019,66680,40976,27240,11920,27816
16/12/2019,0,81952,9720,33776,696
23/12/2019,0,5200,3540,40496,0
30/12/2019,40,3952,6840,1680,0
06/01/2020,18520,1248,6480,8384,0
13/01/2020,36580,-18720,5280,37264,48
20/01/2020,37120,31824,1200,19232,24
27/01/2020,86840,28912,8760,0,30480
03/02/2020,37580,78832,20580,3776,7920
10/02/2020,4980,37856,29220,3360,4716
17/02/2020,18480,13104,39900,16352,22476
24/02/2020,18480,26208,37320,5136,0
02/03/2020,92980,24752,11280,352,68016
09/03/2020,92400,23504,36420,32,23148
16/03/2020,58240,16016,22080,880,3480
23/03/2020,200,57408,54300,16480,108
30/03/2020,25760,6864,15900,4704,23772
06/04/2020,18520,17264,14340,560,24
13/04/2020,980,15600,12420,10800,48
20/04/2020,0,7904,5400,560,12
27/04/2020,56200,20176,6840,1904,1320
04/05/2020,20760,10608,3720,15888,288
11/05/2020,280,26624,9720,15040,11280
18/05/2020,37020,26000,4800,19072,12
25/05/2020,19640,36816,11280,5040,660
01/06/2020,37820,23920,10020,26544,2016
08/06/2020,19700,8112,5100,0,756
15/06/2020,18500,50752,34380,4496,804
22/06/2020,36960,52416,26760,4480,4140
29/06/2020,75320,32656,19140,41760,24456
06/07/2020,56420,32448,28320,6720,180
13/07/2020,18480,16016,51240,3456,21792
20/07/2020,18540,31616,18960,10832,5400
27/07/2020,42020,32448,13920,14000,0
03/08/2020,57480,24128,21300,17360,44112
10/08/2020,79560,28704,19560,3360,708
17/08/2020,55460,9568,12420,34480,67356
24/08/2020,58920,7696,17400,22400,24420
31/08/2020,71780,24752,13560,10112,78552
